query,twitter_name,twitter_id,time,reply,retweet,like,content,cosine_sim,levenshtein_sim,simhash_sim,jaccard_sim,tf,tf_idf
combat readiness,Cali Dreaming NaphiSoc,@NaphiSoc,11:13 AM - 28 Mar 2019,3,6,7,"Collision Course? pic.twitter.com/u0lUjTbpSsIsraeli PM Netanyahu says everything is ready for a major campaign in Gaza if necessary.Hamas says they are the highest level of combat readiness. No one is budging. One side has irrationally looked at military situation. Guess who?
",0.5533001790889026,0.9963898916967509,1.1578947368421053,0.02564102564102564,0.022222222222222223,0.015403270679109895
combat readiness,Congressmember Bass,@RepKarenBass,10:52 AM - 28 Mar 2019,3,30,69,"The commandant of the Marine Corps has warned the Pentagon that military deployments to our border for a “national emergency” pose an unacceptable risk to Marine Corps combat readiness and solvency. Trump’s fake national emergency makes us less safe. https://www.latimes.com/politics/la-na-pol-marine-corps-border-national-emergency-20190321-story.html…
",0.6020620726159658,0.9971751412429378,0.9473684210526315,0.05555555555555555,0.020833333333333332,0.014440566261665526
combat readiness,Local Focus - Security Alerts,@LocalFocus1,10:41 AM - 28 Mar 2019,0,0,0,"Al Qassam: Our combat readiness comes after Israel determination to launch aggressive attack prior Israeli elections
",0.6767766952966369,0.8632478632478633,1.45,0.125,0.058823529411764705,0.04077336356234972
combat readiness,World Events Live,@IdeologyWars,10:51 AM - 28 Mar 2019,0,6,12,"#UPDATE: #Hamas in #Gaza has declared a state of combat readiness anticipating #Israel launching an attack prior to elections. -Gage
",0.658113883008419,0.8796992481203008,0.8,0.1,0.038461538461538464,0.026659506944613283
combat readiness,Local Focus - Security Alerts,@LocalFocus1,10:33 AM - 28 Mar 2019,0,0,0,"Al Qassam: Palestinian resistance leadership decides to increase combat readiness. Our rockets are in early self-activation status.
",0.5857492925712544,0.8787878787878788,1.5789473684210527,0.05555555555555555,0.05,0.03465735902799726
combat readiness,IntelScout,@recon_officer,10:55 AM - 28 Mar 2019,0,0,1,"#Breaking #Hamas in #Gaza has declared a state of combat readiness. https://twitter.com/IdeologyWars/status/1111324907466457089…
",0.6020620726159658,0.875968992248062,1.2,0.07692307692307693,0.05555555555555555,0.03850817669777474
combat readiness,Thomas L Stanley,@ThomasLStanley3,6:11 AM - 28 Mar 2019,0,0,0,"THE PRESIDENT IS RESPONSIBLE FOR COMBAT READINESS OF OUR MILITARY, AND UNDER SEPARATION OF POWERS, THE CONGRESS DOES NOT HAVE THE RIGHT TO DICTATE ""COMBAT READINESS"" POLICIES TO THE PRESIDENT.  WAKE UP @PattyMurrayhttps://twitter.com/PattyMurray/status/1108056035749576704…
",0.5,0.9817518248175182,1.105263157894737,0.0,0.0,0.0
combat readiness,Stars and Stripes,@starsandstripes,4:04 PM - 26 Mar 2019,1,3,14,"More than half of the Army’s brigade combat teams have achieved top levels of preparedness to fight a major ground war, Army Chief of Staff Gen. Mark Milley said, noting only three brigades were considered fully prepared to fight in 2015. https://www.stripes.com/combat-readiness-of-army-brigades-improving-but-hasn-t-reached-service-s-goal-milley-says-1.574389… @CDicksteinDC
",0.5485642931178633,1.0,1.3157894736842106,0.025,0.01,0.006931471805599453
combat readiness,NO GOD D'OHLUSION!,@NoGodDohlusion,10:54 AM - 28 Mar 2019,0,0,0,"""risk to Marine Corps combat readiness and solvency"" means nothing to @realDonaldTrump! He wants power only.
",0.6666666666666666,0.8532110091743119,1.1578947368421053,0.13333333333333333,0.047619047619047616,0.03300700859809263
combat readiness,Rep. Michael Waltz,@RepMichaelWaltz,3:03 PM - 26 Mar 2019,0,0,4,"Important hearing today with @ActingSecDef and @GenDunford about about U.S. combat readiness for a conflict in #space, establishment of the U.S. Space Command, and threats posed by #ISIS, #AlQaeda, and the #Taliban.pic.twitter.com/I4zIbI3Vz8
",0.6066003581778052,1.0,1.105263157894737,0.07407407407407407,0.023809523809523808,0.016503504299046314
combat readiness,4Vets4Life,@4VETS4LIFE,1:00 PM - 27 Mar 2019,0,0,0,"The exercise is designed to enhance U.S. and Japan's combat readiness and interoperability at the tactical level, while strengthening bilateral relationships and demonstrating U.S. resolve to support the security interests of friends and allies in the region. pic.twitter.com/GQQklkLGut
",0.5912870929175277,0.9442508710801394,1.5,0.06451612903225806,0.024390243902439025,0.016906028794145007
combat readiness,Sharon Gilman,@SharonGilman,6:13 PM - 22 Mar 2019,0,1,0,"Marine Corps Boss Slams Border Deployment As 'Unacceptable Risk' To Combat Readiness https://www.yahoo.com/news/marine-boss-slams-border-deployment-090720455.html?.tsrc=fauxdal…
",0.5,0.9157303370786517,1.2,0.0,0.0,0.0
combat readiness,Gen. Wanchai Sagulpong,@Sagulpong,5:55 AM - 27 Mar 2019,0,0,0,"Combat readiness of Army brigades improving but hasn’t reached service’s goal, Milley says https://www.stripes.com/combat-readiness-of-army-brigades-improving-but-hasn-t-reached-service-s-goal-milley-says-1.574389…
",0.5944911182523068,1.0,1.263157894736842,0.06666666666666667,0.023809523809523808,0.016503504299046314
combat readiness,XVI Chairman Ray Galas,@ChairmanBPDG16,9:59 AM - 27 Mar 2019,0,2,0,"Is this @USArmy @SecArmy Brigade Combat Readiness Goal *math* correct?“1) Currently: 28 of 58 Brigades are at acceptable combat readiness2) Goal is to have 30 brigadesat acceptable combat readiness by 20223) For next 3 years, 2019-2022, goal is*2*more BCTs combat ready?” pic.twitter.com/XRki4LiIKh
",0.696116135138184,1.0,1.35,0.05263157894736842,0.03636363636363636,0.025205352020361643
combat readiness,Instant News Alerts,@InstaNewsAlerts,10:10 AM - 28 Mar 2019,2,9,20,"#Hamas official says the rocket fired into central #Israel was triggered due to #Hamas raising the combat readiness level in #Gaza after receiving intel #Israel is planning an offensive on #Gaza before the Israeli elections.
",0.6031421246258794,0.9288888888888889,1.3157894736842106,0.06666666666666667,0.023809523809523808,0.016503504299046314
combat readiness,1st Marine Division,@1st_Marine_Div,10:04 AM - 28 Mar 2019,2,8,19,"PLAYING IN THE SAND@USMC Marines with 3rd Light Armored Reconnaissance Battalion, participate in a Marine Corps Combat Readiness Evaluation at Marine Corps Air Ground Combat Center Twentynine Palms, California. (U.S. Marine Corps photo by Lance Cpl. Ana S. Madrigal)#1stMarDivpic.twitter.com/504eZse0L8
",0.5,0.9801980198019802,1.1578947368421053,0.0,0.0,0.0
combat readiness,MCB HAWAII,@MCB_Hawaii,1:56 PM - 26 Mar 2019,2,23,84,"Bougainville IDuring the last three weeks, U.S. Marines with 2nd Battalion, 3rd Marine Regiment completed Bougainville I, a pre-deployment training exercise that encompassed urban and jungle environments to improve the units combat readiness.#GroundCombatElement #HawaiiMAGTFpic.twitter.com/ZO0nnt8yg9
",0.5573539334676404,0.9933774834437086,1.1,0.030303030303030304,0.0125,0.008664339756999316
combat readiness,THPFallBranch,@THPFallBranch,7:34 AM - 26 Mar 2019,3,2,19,"THP Troopers conducting training at our annual In-Service 2019 in Nashville, Tn. Active Shooter, Combat readiness mentality , First Aid , and all kinds of other training our Troopers receive is State of the Art, , and a crucial part of officer survival!! pic.twitter.com/nlHMtRse0E
",0.5441941738241592,0.9468085106382979,1.368421052631579,0.02702702702702703,0.01,0.006931471805599453
combat readiness,Owenmarkus,@Owenmarkus4,3:49 PM - 25 Mar 2019,10,81,115,"The commandant of the Marines has warned the Pentagon that deployments to the southwest border and funding transfers under the president’s emergency declaration, among other unexpected demands, have posed “unacceptable risk to Marine Corps combat readiness and solvency.” pic.twitter.com/4l4COniLT2
",0.5953462589245593,0.9966555183946488,1.105263157894737,0.058823529411764705,0.022222222222222223,0.015403270679109895
combat readiness,BG Poland eFP,@BG_Poland_eFP,7:59 AM - 25 Mar 2019,1,24,62,"The 1stQueen’s Dragoon Guards, assigned to #eFP Battle Group Poland, lead troopers in a fitness routine designed to ensure combat readiness. @USArmyEurope @USArmy @DeptofDefense @TNMilitaryDept #278thacr #StrongEuropepic.twitter.com/wSbWbFWTfc
",0.5656532164298613,0.9344262295081968,1.263157894736842,0.037037037037037035,0.02564102564102564,0.017773004629742187
launch site,Sarah Sanders,@PressSec,6:32 AM - 16 Mar 2019,0,0,0,"The author of the fake Russia dossier - paid for by Hillary and the DNC and used to launch the witch hunt against President @realDonaldTrump - now admits he relied on claims posted by a random person on a CNN site “not edited, fact-checked or screened”https://www.foxnews.com/politics/author-of-anti-trump-dossier-relied-on-unvetted-info-from-random-internet-users-on-cnns-now-defunct-site…
",0.5898026510133875,1.0,1.05,0.05128205128205128,0.018867924528301886,0.013078248689810288
launch site,Minuteman Brand,@minutemanco,4:19 AM - 28 Mar 2019,0,1,4,"If any of you are thinking of buying one of the Panda versions shown here. I am limiting these to just 6 for each version. Yesterday I set up our site for our official April 1st launch. Well we've jumped the gun... https://www.facebook.com/MinutemanWatchCo/posts/1904588346312460…
",0.5468292905790847,1.0,1.2105263157894737,0.02631578947368421,0.02,0.013862943611198907
launch site,Creation's Daughter,@T_Harbison,11:33 AM - 28 Mar 2019,0,0,0,"Just went to staples and bought somethings for shipping for my site launch!!
",0.5912870929175277,0.948051948051948,0.7,0.07692307692307693,0.06666666666666667,0.046209812037329684
launch site,BJM&Associates,@BMatushewski,8:25 AM - 28 Mar 2019,0,0,0,"Getting ready to launch our new web site...
",0.625,0.75,1.1578947368421053,0.1111111111111111,0.1111111111111111,0.07701635339554948
launch site,Srinivas,@Sriniva43487900,8:16 AM - 28 Mar 2019,0,0,0,"Oppo A1K Spotted on Thailand Certification Site, Launch Appears Imminent https://ift.tt/2TEwfVs
",0.5,0.8958333333333334,1.4736842105263157,0.0,0.0,0.0
launch site,Boho Brooke,@BohoBrooke,11:04 AM - 28 Mar 2019,0,0,0,"Hey, guys! Although our official launch isn’t until April 1, we’ve just added a bunch of super cute tees - head over to our site for sneak peek pricing! Link in bio. #bohostyle #bohotee… https://www.instagram.com/p/BvhSqTvgotT/?utm_source=ig_twitter_share&igshid=4znl921byie5…
",0.6162476387438193,1.0,1.05,0.058823529411764705,0.019230769230769232,0.013329753472306641
launch site,nozzle,@nozzleio,10:36 AM - 28 Mar 2019,2,0,1,"A2. The worst that I've encountered was when someone failed to uncheck the ""Discourage search engines from indexing this site"" checkbox in Wordpress for 45 days after launch. #seochat
",0.5,0.9510869565217391,1.0526315789473684,0.0,0.02857142857142857,0.01980420515885558
launch site,triples + sliders,@triplesnsliders,10:06 AM - 28 Mar 2019,0,1,4,"Happy #OpeningDay from my new baseball blog! To kick-off the launch of this new site, I have also posted two new ballpark reviews: Wrigley Field + Coors Field! https://www.triplesandsliders.com/
",0.5597614304667197,0.9435897435897436,1.1578947368421053,0.03571428571428571,0.027777777777777776,0.01925408834888737
launch site,FWD: FWD: FWD: FWD:,@Fwd3430,10:53 AM - 28 Mar 2019,0,0,0,"@GOVINSLEE Is bainbridge high school bainbridge WA KITSAP CO (&yr home res) built on the epa superfund site fmr nike missle launch site #82?
",0.7004459314343183,0.9219858156028369,1.3888888888888888,0.09090909090909091,0.05,0.03465735902799726
launch site,HuffPost,@HuffPost,9:15 AM - 10 Mar 2019,39,27,66,"National security adviser John Bolton would not comment on new photos appearing to show the rapid reconstruction of a North Korean rocket launch site. ""I'm not going to speculate,"" he told ABC News. http://huffp.st/XIDy7yR
",0.5573539334676404,1.0,1.05,0.030303030303030304,0.023809523809523808,0.016503504299046314
launch site,style of heart evangelista,@styleofhearte,7:47 AM - 28 Mar 2019,0,0,0,"Heart Evangelista supports Philippine Heart Association's ""Pusong Pinay"" site launchView post: https://styleofhearte.wixsite.com/styleofhearte/post/heart-evangelista-supports-philippine-heart-association-s-pusong-pinay-site-launch…pic.twitter.com/VmYWv4gAB5
",0.5944911182523068,1.0,1.368421052631579,0.08333333333333333,0.027777777777777776,0.01925408834888737
launch site,The Upstarters,@UpstartersGo,10:00 AM - 28 Mar 2019,0,0,0,"If you are ready to launch your startup The Upstarters build web & mobile apps specifically for startup founders. Our transparent pricing is on our web site. Get in touch for a free consultation about your idea!#BeYourOwnBoss #BillionaireLifestyle #Business #BusinessManpic.twitter.com/EgouQGvks5
",0.5510310363079829,0.9764309764309764,1.2105263157894737,0.02702702702702703,0.020833333333333332,0.014440566261665526
launch site,Klexion Services,@AlexiusMoore,11:30 AM - 28 Mar 2019,0,0,0,"Cleanly Will launch soon an we need Cleaning ProfessionalsPlease go to the site and click careers we look forward to working with you.https://www.cleanlyconcierge.com/pic.twitter.com/PekbMRtufA
",0.6360827634879543,0.9432989690721649,1.55,0.09523809523809523,0.04,0.027725887222397813
launch site,Goose Lane Editions,@goose_lane,6:51 AM - 28 Mar 2019,0,0,2,"New on the site just in time for @pchuynh launch at @massybooks tonight, it's The Forbidden Purple City 101! http://ow.ly/mLEe30oed9Q #canadianliterature #bookspic.twitter.com/LC3pEkIPaV
",0.6507556722888818,0.9411764705882353,1.5555555555555556,0.09090909090909091,0.03225806451612903,0.022359586469675653
launch site,Aquaplus Solutions,@thisisaquaplus,9:06 AM - 28 Mar 2019,0,0,1,"We are saying goodbye to our old branding tomorrow with the launch of our newly designed site! Here's a sneak peek! #rebranding #thisisaquapluspic.twitter.com/a3489Jo3dV
",0.5707106781186547,0.9352941176470588,1.2222222222222223,0.043478260869565216,0.03571428571428571,0.024755256448569473
launch site,ManageWP,@managewp,10:01 AM - 28 Mar 2019,0,1,2,"Planning to launch your site in multiple languages? Let’s take a look at what you should plan for before you create your multilingual website. https://buff.ly/2OtNNTd #multilingual #wordpresswebsite #translatepic.twitter.com/jsop0hhyfO
",0.625,1.0,1.05,0.07692307692307693,0.02702702702702703,0.018733707582701226
launch site,Wealthy Gorilla,@WealthyGorilla,7:13 AM - 28 Mar 2019,0,1,1,"How to Launch Your Own E-Commerce Site http://rviv.ly/0149Qdpic.twitter.com/Hal96nCRn6
",0.5,0.896551724137931,1.368421052631579,0.0,0.0,0.0
launch site,Jamming,@balticjam,8:06 AM - 27 Mar 2019,0,1,2,"Those were the days! ”Nike Missile launch site at Fort Barry [SF]...the site was intended to protect the population... specifically from attack by Soviet bomber aircraft.”, wiki @nukestratpic.twitter.com/fuG8zrPLZO
",0.6875,1.0,0.9,0.07692307692307693,0.039473684210526314,0.027361072916839944
launch site,voodoobarbiedoll,@sydneynicolevbd,9:05 AM - 28 Mar 2019,1,0,9,"Used the @JeffreeStar Alien Palette for both of these looks  Cannot wait for #BlueBlood to launch! I hope I get it because I feel like no matter how quick I am on Jeffree's site for a launch I somehow miss it  #jeffreestarcosmetics #jeffreestarpic.twitter.com/KC51OwgrFZ
",0.5816496580927726,1.0,0.9,0.05405405405405406,0.03,0.02079441541679836
